source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__solver_normalized_uncertainty,21,10,0.02,0.6848925440199553,0.40422858295769704,0.16770320877492984,4+,4,False,-0.255453|-0.0173331-0.306632j|-0.0173331+0.306632j|0.340698,nan
reproduction,20260718__solver_normalized_uncertainty,21,10,0.03,0.6848925440199553,0.40422858295769704,0.16770320877492984,4+,4,False,-0.255453|-0.0173331-0.306632j|-0.0173331+0.306632j|0.340698,nan
reproduction,20260718__solver_normalized_uncertainty,21,12,0.005,0.6851049704869894,0.4046078051023001,0.16816678033669763,4+,4,False,-0.263828|-0.0164683-0.313364j|-0.0164683+0.313364j|0.348122,nan
reproduction,20260718__solver_normalized_uncertainty,21,12,0.01,0.6851049704869894,0.4046078051023001,0.16816678033669763,4+,4,False,-0.263828|-0.0164683-0.313364j|-0.0164683+0.313364j|0.348122,nan
reproduction,20260718__solver_normalized_uncertainty,21,12,0.02,0.6851049704869894,0.4046078051023001,0.16816678033669763,4+,4,False,-0.263828|-0.0164683-0.313364j|-0.0164683+0.313364j|0.348122,nan
reproduction,20260718__solver_normalized_uncertainty,21,12,0.03,0.6851049704869894,0.4046078051023001,0.16816678033669763,4+,4,False,-0.263828|-0.0164683-0.313364j|-0.0164683+0.313364j|0.348122,nan
reproduction,20260718__solver_normalized_uncertainty,21,14,0.005,0.6873877789879375,0.40899140337024226,0.17382190493379965,4+,4,False,-0.260713|-0.0176428-0.311911j|-0.0176428+0.311911j|0.347636,nan
reproduction,20260718__solver_normalized_uncertainty,21,14,0.01,0.6873877789879375,0.40899140337024226,0.17382190493379965,4+,4,False,-0.260713|-0.0176428-0.311911j|-0.0176428+0.311911j|0.347636,nan
reproduction,20260718__solver_normalized_uncertainty,21,14,0.02,0.6873877789879375,0.40899140337024226,0.17382190493379965,4+,4,False,-0.260713|-0.0176428-0.311911j|-0.0176428+0.311911j|0.347636,nan
reproduction,20260718__solver_normalized_uncertainty,21,14,0.03,0.6873877789879375,0.40899140337024226,0.17382190493379965,4+,4,False,-0.260713|-0.0176428-0.311911j|-0.0176428+0.311911j|0.347636,nan
reproduction,20260718__solver_normalized_uncertainty,21,15,0.005,0.6919534444441593,0.4173444693381075,0.1855658296544966,4+,4,False,-0.260668|-0.017612-0.311811j|-0.017612+0.311811j|0.347418,nan
reproduction,20260718__solver_normalized_uncertainty,21,15,0.01,0.6919534444441593,0.4173444693381075,0.1855658296544966,4+,4,False,-0.260668|-0.017612-0.311811j|-0.017612+0.311811j|0.347418,nan
reproduction,20260718__solver_normalized_uncertainty,21,15,0.02,0.6919534444441593,0.4173444693381075,0.1855658296544966,4+,4,False,-0.260668|-0.017612-0.311811j|-0.017612+0.311811j|0.347418,nan
